Running Forward KL,Itration,Real Sto Return,Running Env Steps,Running Reverse KL,Running Update Time,Real Det Return,Reward Loss,q,clip,folder,episode,environment,seed
36.9432,0,224.8,0,17.3563,0,82.97,-302.5616149902344,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,0,Hopper-v5,1024
38.0634,1,220.73,5000,100.3279,1,242.37,-190.56442260742188,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,5000,Hopper-v5,1024
38.087,2,282.41,10000,42.697,2,279.15,-301.1108093261719,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,10000,Hopper-v5,1024
36.9741,3,308.12,15000,36.5389,3,332.86,-303.8193359375,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,15000,Hopper-v5,1024
36.7658,4,325.02,20000,101.1731,4,343.7,-221.8260803222656,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,20000,Hopper-v5,1024
36.9017,5,333.64,25000,39.9064,5,361.4,-346.6656494140625,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,25000,Hopper-v5,1024
36.472,6,341.9,30000,28.3549,6,352.52,-348.1041259765625,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,30000,Hopper-v5,1024
36.1667,7,401.29,35000,39.5274,7,385.33,-375.0952453613281,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,35000,Hopper-v5,1024
36.3638,8,391.51,40000,28.1807,8,389.56,-339.7901611328125,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,40000,Hopper-v5,1024
36.5935,9,396.83,45000,18.8565,9,396.7,-350.041748046875,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,45000,Hopper-v5,1024
36.4672,10,396.39,50000,83.3374,10,400.04,-208.86167907714844,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,50000,Hopper-v5,1024
36.2595,11,416.28,55000,38.8914,11,424.77,-417.34124755859375,4,,logs/Hopper-v5/exp-16/maxentirl_dynamic_clipping/2025_01_05_09_15_31_q4_seed1024,55000,Hopper-v5,1024
