Running Env Steps,Real Det Return,Itration,Running Forward KL,Running Update Time,Real Sto Return,Reward Loss,Running Reverse KL,q,clip,folder,episode,environment,seed
0,264.41,0,25.7575,0,248.68,-14.353267669677734,27.0411,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,0,Hopper-v5,42
5000,303.85,1,22.9233,1,301.17,-16.299606323242188,29.184,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,5000,Hopper-v5,42
10000,323.86,2,22.5143,2,319.96,-14.738567352294922,31.0533,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,10000,Hopper-v5,42
15000,305.81,3,23.136,3,298.18,-14.955930709838867,29.5105,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,15000,Hopper-v5,42
20000,471.97,4,21.638,4,466.81,-44.87615966796875,39.4036,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,20000,Hopper-v5,42
25000,412.87,5,22.6609,5,433.3,-49.07908248901367,42.8283,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,25000,Hopper-v5,42
30000,587.82,6,21.5504,6,585.43,-59.29489517211914,43.2308,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,30000,Hopper-v5,42
35000,886.43,7,20.8941,7,807.68,-61.39609909057617,37.2846,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,35000,Hopper-v5,42
40000,801.44,8,21.2938,8,791.19,-76.84642791748047,41.7135,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,40000,Hopper-v5,42
45000,423.84,9,20.9502,9,716.25,-86.66878509521484,40.4461,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,45000,Hopper-v5,42
50000,1064.32,10,20.5784,10,856.28,-95.10063934326172,38.8787,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,50000,Hopper-v5,42
55000,430.86,11,20.5859,11,601.0,-94.51280212402344,30.8466,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,55000,Hopper-v5,42
60000,1586.22,12,19.9662,12,1152.23,-94.4323959350586,29.7558,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,60000,Hopper-v5,42
65000,2857.39,13,19.6393,13,2309.07,-73.72724914550781,18.1794,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,65000,Hopper-v5,42
